
Name;FirstName;Rank;Country;Club;
Burrall;Matthew;7D;US;xxx;
Hsu;Hao-Hung;7D;CT;;
Lo;Sheng-Chieh;7D;CT;;
Lu;Yu-Hua;7D;CT;;
Tsai;Cheng-Wei;7D;CT;;
Hara;Hidetaka;6D;JP;;
Noguchi;Kohichi;6D;JP;;
Sha;Irene;6D;CA;;
Shen;Cherry;6D;US;;
Surma;Mateusz;6D;PL;Dzim;
Suzuki;Kaichi;6D;JP;;
Tan;Jia-Cheng;6D;SG;xxx;
Yu;Jin;6D;CA;Toro;
Zhang;Xiang;6D;SG;Sin;
Zhuang;Vincent;6D;US;Port;
Cheong;Meng Hou;5D;MO;;
Chung;Wai Yi;5D;HK;;
Danek;Vladimir;5D;CZ;APra;
Huang;Andrew;5D;CA;xxx;
Lin;Viktor;5D;AT;Gote;
Lou;Wan-Kao;5D;MO;xxx;
Podpera;Lukas;5D;CZ;APWS;
Rehm;Robert;5D;NL;Amst;
Spiegel;Lothar;5D;AT;Gote;
Wong;Ngai Lon;5D;MO;;
Aaij;Rene;4D;NL;Gron;
Diamond;Jon;4D;UK;NoCb;
Fragman;Amir;4D;IL;MGC;
Hamrah;Schayan;4D;AT;Wien;
Kwa;Jie-Hui;4D;SG;Sing;
Lee;Lok Yi;4D;HK;;
Poh;Jun Zhe Malcus;4D;SG;;
Song;Amira;4D;CA;Toro;
Danel;Thomas;3D;FR;59Li;
Gigot;Benjamin;3D;BE;LlN;
Kwan;Ni-Yin;3D;HK;xxx;
Simons;Andrew;3D;UK;Camb;
Yeun;Lok Yan;3D;HK;;
Avram;Laura;2D;RO;Bist;
Delli-Zotti;Mathieu;2D;FR;56Lo;
Lextrait;Cesar;2D;FR;13Ma;
Reem;Ben-David;2D;IL;xxx;
Smith;Paul;2D;UK;Camb;
Tichy;Antonin;2D;CZ;APWS;
Bossee;Kristof;1D;BE;Roes;
Kuin-Dubiel;Marika;1D;NL;Amvn;
Vandenbon;Bram;1D;BE;ROE;
Suciu;Irina;1K;RO;Brsv;
Bertok;Davide;8K;IT;Trie;
Marconi;Anna;11K;IT;Udin;
Toma;Ruxandra;12K;RO;Brai;
Aliberti;Emanuele;16K;IT;;
